iter	Passed	Remaining
0	94	94084
1	95	47780
2	97	32338
3	98	24595
4	100	19936
5	101	16835
6	104	14780
7	105	13104
8	107	11808
9	108	10786
10	110	9939
11	112	9241
12	114	8675
13	118	8340
14	119	7874
15	123	7597
16	125	7260
17	127	6928
18	128	6632
19	137	6715
20	139	6502
21	141	6287
22	143	6110
23	145	5910
24	153	5981
25	155	5819
26	157	5660
27	160	5557
28	167	5597
29	170	5510
30	172	5388
31	174	5271
32	185	5423
33	189	5378
34	203	5619
35	207	5561
36	217	5649
37	219	5545
38	221	5458
39	223	5353
40	226	5309
41	229	5232
42	230	5139
43	232	5048
44	233	4960
45	235	4880
46	236	4800
47	238	4733
48	241	4689
49	243	4622
50	244	4554
51	246	4494
52	248	4444
53	250	4383
54	251	4322
55	262	4429
56	265	4385
57	272	4430
58	274	4383
59	276	4327
60	278	4286
61	280	4239
62	282	4208
63	285	4180
64	287	4136
65	289	4095
66	291	4060
67	293	4015
68	294	3972
69	295	3931
70	301	3948
71	303	3911
72	305	3874
73	306	3840
74	309	3821
75	313	3817
76	318	3813
77	320	3787
78	322	3754
79	323	3719
80	324	3685
81	327	3660
82	328	3630
83	330	3605
84	334	3601
85	336	3571
86	337	3541
87	338	3511
88	348	3562
89	351	3556
90	353	3527
91	354	3500
92	365	3567
93	367	3545
94	369	3517
95	370	3489
96	377	3518
97	380	3500
98	383	3493
99	385	3469
100	394	3508
101	396	3488
102	398	3468
103	400	3451
104	401	3426
105	409	3450
106	410	3430
107	413	3414
108	415	3392
109	416	3370
110	425	3406
111	428	3394
112	429	3374
113	431	3352
114	435	3352
115	439	3347
116	440	3326
117	443	3313
118	445	3295
119	446	3274
120	453	3292
121	454	3273
122	456	3253
123	457	3233
124	459	3214
125	460	3196
126	461	3175
127	464	3163
128	466	3149
129	467	3131
130	469	3112
131	470	3095
132	472	3081
133	474	3064
134	475	3047
135	477	3030
136	479	3019
137	481	3004
138	482	2988
139	483	2971
140	485	2955
141	486	2936
142	487	2922
143	488	2906
144	490	2891
145	495	2897
146	499	2901
147	503	2898
148	505	2884
149	506	2870
150	509	2864
151	511	2851
152	512	2838
153	514	2826
154	516	2815
155	518	2802
156	519	2790
157	521	2777
158	523	2769
159	525	2757
160	526	2742
161	528	2732
162	529	2721
163	531	2710
164	533	2700
165	538	2706
166	541	2698
167	543	2689
168	546	2685
169	548	2675
170	554	2688
171	556	2681
172	559	2672
173	560	2662
174	566	2669
