iter	Passed	Remaining
0	1	188
1	3	163
2	4	153
3	5	142
4	7	144
5	9	144
6	10	142
7	12	139
8	13	136
9	14	134
10	16	132
11	17	130
12	19	128
13	20	125
14	21	124
15	23	122
16	24	120
17	26	118
18	27	117
19	28	115
20	30	113
21	31	112
22	33	110
23	34	108
24	35	107
25	37	105
26	38	104
27	39	102
28	41	101
29	42	99
30	44	98
31	45	96
32	46	95
33	48	93
34	49	92
35	51	90
36	52	89
37	53	87
38	55	86
39	56	84
40	58	83
41	58	81
42	60	79
43	61	78
44	62	76
45	64	75
46	65	74
47	67	73
48	68	71
49	70	70
50	71	68
51	72	67
52	74	65
53	75	64
54	76	62
55	78	61
56	79	59
57	80	58
58	82	57
59	83	55
60	84	54
61	86	52
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	120	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	136	4
97	138	2
98	139	1
99	140	0
